"id","catagory","hasImage","question","answerA","answerB","answerC","answerD","correctAnswer"
"72","11","1","What does this sign mean?","Restricted weight limit for road segment indicated.","Restricted road width ahead.","Road narrows ahead, maximum length of vehicle is as indicated.","Restricted headroom up ahead.","D"
"73","11","1","What does this sign mean?","Radio transmission mast ahead.","Sharp corners ahead.","Overhead electric cables.","Crosswinds ahead.","C"
"74","11","1","What does this sign mean?","Level crossing ahead unguarded by gates or barriers.","Major roadworks ahead.","Machinery crossing ahead.","End of major roadworks.","A"
"75","11","1","What does this sign mean?","Road fencing ahead.","Farm machinery crossing ahead.","Private grounds - no entry.","Level crossing ahead guarded by gates or barriers.","D"
"76","11","1","What does this sign mean?","Do not stop on railway crossing.","Railway bridge ahead.","Railway station ahead.","Level crossing ahead with lights and barriers.","D"
"77","11","1","What does this sign mean?","Emerging vehicles have priority. You must stop if necessary.","The driver must stop when red lights show.","Stop, and wait for green light before proceeding.","You must stop when you see brake-lights ahead.","B"
"78","11","1","What does this sign mean?","Automatic level crossing ahead.","Bridge may be raised ahead.","Pelican crossing ahead.","Traffic lights may be activated by passing traffic.","A"
"79","11","1","What does this sign mean?","Series of bumps or hollows ahead.","Road falls from center to left and right.","Road reflective studs ahead.","Sharp rise in the road ahead - for example, a hump-back bridge.","D"
"80","11","1","What does this sign mean?","Road divides ahead - pass left or right.","Road damage ahead.","Low bridge ahead.","Sharp depression or dip ahead.","D"
"81","11","1","What does this sign mean?","Series of bumps or hollows ahead.","Rumble strips ahead.","Industrial estate ahead.","Steep hills ahead.","A"
"82","11","1","What does this sign mean?","Steep hill ahead.","Crosswinds ahead.","Series of bends ahead.","Slippery stretch of road ahead.","D"
"83","11","1","What does this sign mean?","Road liable to flooding.","Steep descent ahead.","Unprotected quay, canal, or river ahead.","Slippery road ahead.","C"
"84","11","1","What does this sign mean?","Advance warning for school children crossing ahead.","Railway level crossing ahead.","Stop at pedestrian crossing.","Traffic signals ahead.","D"
"85","11","1","What does this sign mean?","School ahead.","Pedestrian crossing ahead - prepare to stop.","Children's play area ahead.","Recreation area ahead.","A"
"86","11","1","What at does this sign mean?","Picnic area ahead.","School children crossing ahead.","Level crossing ahead with pedestrian walkway.","Playground ahead.","B"
"87","11","1","What do these signs together mean?","Slippery road, children may fall.","Beware of children crossing.","People jogging have right of way.","Loose chippings ahead on the road.","B"
"88","11","1","What does this sign mean?","Entrance to horse riding school.","Racecourse ahead.","Riding path - no vehicles allowed.","Accompanied horses and ponies ahead.","D"
"89","11","1","What does this sign mean?","Livestock mart ahead.","Veterinary station ahead.","Cattle grid ahead.","Possibility of cattle or farm animals ahead.","D"
"90","11","1","What does this sign mean?","No animals permitted ahead.","Sheep market ahead.","Abattoir ahead.","Possibility of sheep ahead.","D"
"91","11","1","What does this sign mean?","No hunting ahead.","Possibility of deer or wild animals up ahead.","Wildlife reserve - no stopping.","Stag-hunting ahead.","B"
"92","11","1","What does this sign mean?","Nature reserve. Do not litter.","Airport ahead.","Crosswinds.","Golf course ahead.","C"
"93","11","1","What does this sign mean?","Lane reserved for pedestrians.","Jogging lane ahead.","Beware of pedestrians at night.","Pedestrian crossing ahead.","D"
"94","11","1","What does this sign mean?","Turning bay for heavy goods vehicles ahead.","Tunnel ahead.","Cathedral or church ahead.","Historic site ahead.","B"
"95","11","1","What does this sign mean?","Road uneven, beware of unsecured loads on high-sided vehicles.","Danger of falling rocks ahead.","Possibility of falling leaves.","Rugged coast ahead.","B"
"96","11","1","What does this sign mean?","Direction of prevailing wind.","Traffic merging/diverging ahead.","Airport ahead.","Possibility of low flying aircraft.","D"
"97","11","1","What does this sign mean?","A driver must maintain sufficient distance from the vehicle ahead of you.","A driver must drive on the left-hand side.","A driver may not park.","A driver may not overtake.","B"
"98","11","1","What does this sign mean?","Tramway crossing ahead.","Overhead electric cables.","Railway station.","Level crossing ahead.","A"
"99","11","1","What does this sign mean?","Railway station ahead.","Tramway crossing ahead.","Guarded level crossing ahead.","Unguarded level crossing ahead.","B"
"100","11","1","What does this sign mean?","Trams may block cyclists from your view.","Cyclists and tram only ahead.","Tram track, cyclists beware.","Cycle track ahead.","C"
"101","11","1","What does this sign mean?","End to motorway.","Low bridge ahead.","Entry to motorway.","Toll-bridge ahead.","C"
"102","11","1","What does this sign mean?","Motorway ends 500 meters ahead.","No overtaking for 500 meters.","Bridge repair 500 meters ahead.","Low bridge 500 meters ahead.","A"
"103","11","1","What does this sign mean?","End of motorway.","Crossing onto the opposite carriageway is not allowed.","No overtaking.","Stopping under bridge is not allowed.","A"
"104","11","1","What does this sign mean?","Crossing traffic ahead.","Steep climb up ahead for 3 kilometers.","Three hundred meters to the next exit.","Three lanes ahead.","C"
"105","11","1","What does this sign mean?","Two hundred meters to the next exit.","Sharp corner to left.","Steep climb ahead for 2 kilometers.","Dual-carriageway crossing ahead.","A"
"106","11","1","What does this sign mean?","One hundred meters to the next exit.","Low bridge ahead.","Single carriageway ahead.","Steep climb ahead for 1 kilometer.","A"
"107","11","1","What does this sign mean when displayed on the approach to a motorway?","Coin basket in this lane.","Leisure area on the left.","Cashier in this lane.","Ticket dispenser in this lane.","C"
"108","11","1","What does this sign mean?","Building site ahead.","Tree planting ahead.","Mud slide ahead.","Roadworks ahead.","D"
"109","11","1","What does this sign mean?","Pipe laying ahead.","Series of steep hills ahead.","Industrial estate ahead.","Uneven surface ahead.","D"
"110","11","1","What does this sign mean?","Steep hill ahead.","Slippery road .","Series of bends ahead.","Crosswinds ahead.","B"
"111","11","1","What does this sign mean?","Road narrows from left.","Left-hand lane has an uneven surface.","Slow lane ends ahead.","You must overtake on the right only.","A"
"112","11","1","What does this sign mean?","Overtaking lane ends ahead.","Right-hand lane has an uneven surface.","You must overtake on the right only.","Road narrows from right.","D"
"113","11","1","What does this sign mean?","Road narrows on both sides.","Tunnel ahead.","Railway crossing ahead.","Dual-carriageway ahead.","A"
"114","11","1","What does this sign mean?","Football stadium ahead.","Hitch-hiking permitted.","Flagman ahead.","Litter is not allowed.","C"
"115","11","1","What does this sign mean?","Temporary traffic signals ahead.","Roundabout with traffic lights ahead.","School children crossing ahead.","Railway crossing ahead.","A"
"116","11","1","What does this sign mean?","Traffic may not stop.","Two-way traffic.","One-way street.","Dual-carriageway ahead.","B"
"117","11","1","What does this sign mean?","Nearside lane of two closed .","No overtaking.","Stop sign ahead.","Overtaking permitted on right only.","A"
"118","11","1","What does this sign mean?","No left turn ahead.","Nearside lane of three closed .","Overtaking permitted, except in the left lane.","Do not drive on the hard shoulder.","B"
"119","11","1","What does this sign mean?","Loose chippings on road.","Vehicle broken down ahead on right.","Flooding up ahead on left.","Uneven surface on left.","A"
"120","11","1","What does this sign mean?","End of dual carriageway ahead.","Offside lane closed ahead.","No stopping, except in the right-hand lane.","Corner ahead on the right-hand lane.","B"
"121","11","1","What does this sign mean?","Steep incline ahead.","Parking for works vehicles on left.","Three vehicles may queue ahead.","Traffic queses likely ahead.","D"
"122","11","1","What does this sign mean?","Keep left.","Slippery surface.","Uneven surface.","Parking on left only.","C"
"123","11","1","What does this sign mean?","Dual-carriageway ahead.","Heavy vehicles have priority.","Lay-by ahead.","Obstruction between lanes ahead.","D"
"124","11","1","What does this sign mean?","Pedestrians cross to the right.","Do not drive on the footpath.","Shopping mall on the right.","Pedestrianised street to the right.","A"
"125","11","1","At roadworks, what does this sign mean?","Proceed with caution.","Proceed with hazard warning lights on.","Only proceed when flagman beckons you on.","Proceed using hand signals only.","A"
"126","11","1","At roadworks, what does this sign mean?","Stop before or at the sign.","Stop only if faced by oncoming traffic.","Only proceed if road is clear ahead.","Make a detour.","A"
"127","11","1","What do these signs together mean?","End of speed limit.","End of detour.","End of road.","End of road works.","B"
"128","11","1","What does this sign mean?","Traffic must cross over to left-hand lane.","Bend in the road to the left ahead.","Slow lane ahead for heavy traffic.","Lay-by ahead.","A"
"129","11","1","What does this sign mean?","Traffic calming measures ahead.","Bend in the road to the right ahead.","End of 'no overtaking' zone.","Traffic must cross over to the right-hand lane.","D"
"130","11","1","What does this sign mean?","Lay-by ahead.","Start of central reserve or obstruction.","Heavy vehicles have priority.","Dual-carriageway ahead.","B"
"131","11","1","What does this sign mean?","Dual-carriageway ends ahead.","Lighter vehicles should use the middle lane.","End of central reserve or obstruction.","Beware of vehicles with a wide load.","C"
"132","11","1","What does this hand signal mean?","The cyclist intends to stop.","The cyclist intends to turn left.","The cyclist intends to slow down.","The cyclist intends to move out or to turn right.","D"
"133","11","1","What does this hand signal mean?","The cyclist intends to turn left.","The cyclist is signaling following traffic to overtake.","The cyclist intends to move out or to turn right.","The cyclist intends to slow down or stop.","D"
"134","11","1","What does this hand signal mean?","The cyclist intends to go straight on.","The cyclist is turning to her left.","The cyclist is yielding right of way to you.","The cyclist is preparing to stop.","A"
"135","11","1","What does this hand signal mean?","The cyclist intends to stop.","The cyclist intends to dismount.","The cyclist intends to overtake.","The cyclist intends to turn left.","D"
"136","11","1","What does this hand signal mean?","The cyclist intends to slow down.","The cyclist intends to stop for pedestrians.","The cyclist intends to turn to her left.","The cyclist intends to turn right.","D"
"137","11","1","What does this hand signal mean?","The cyclist intends to stop.","The cyclist intends to turn left.","The cyclist is signaling you to stop.","The cyclist intends to cross the road.","B"
"138","11","1","What does this hand signal mean?","The driver intends to yield to oncoming traffic.","The driver intends to slow down or stop.","The driver intends to turn left.","The driver intends to turn right.","C"
"139","11","1","What does this hand signal mean?","The driver intends to turn left.","The driver intends to move out or turn right.","The driver intends to do a 'U'-turn.","The driver intends to stop.","B"
"140","11","1","What does this hand signal mean?","The driver intends to turn left.","The driver intends to turn right.","The driver intends to begin a 'U'-turn.","The driver intends to slow down or stop.","D"
"141","11","1","What does this hand signal mean?","The driver intends to perform a reverse maneuver.","The driver intends to turn left.","The driver intends to telling you to turn right.","The driver is indicating an emergency situation.","B"
"142","11","1","What does this hand signal mean?","The driver intends to perform a reverse maneuver.","The driver intends to turn right.","The driver intends to slow down or stop.","The driver is telling other drivers to slow down.","B"
"143","11","1","What does this hand signal mean?","The driver is signaling you to proceed.","The driver intends to reverse.","The driver intends to move straight ahead.","The driver intends to stop.","C"
"144","11","1","What does this Garda signal mean?","Stop if approaching from the front.","Proceed if approaching from the front.","Stop if approaching from behind.","Proceed if approaching from behind.","A"
"145","11","1","What does this Garda signal mean?","Stop if approaching from behind.","Turn right.","Turn left.","Stop if approaching from front.","A"
"146","11","1","What does this Garda signal mean?","Proceed if approaching from the front.","Turn right.","Turn left.","Stop if approaching from either the front or behind.","D"
"147","11","1","What does this Garda signal mean?","The Garda is beckoning on traffic approaching from the front.","You must not proceed to the right.","The Garda is beckoning on traffic approaching from either side.","You must not proceed to the left.","C"
"148","11","1","What does this Garda signal mean?","Traffic approaching from the front may proceed.","Traffic approaching from behind may proceed.","Traffic approaching from the left may proceed.","Traffic approaching from the right may proceed.","A"
"149","11","1","What does this road marking indicate?","Pedestrian island ahead.","Cycle lane ahead.","Zebra crossing.","Traffic-calming ahead.","C"
"150","11","1","What does this road marking mean?","No parking in this area.","Road surface is uneven.","You may park for a maximum of one hour only.","You may overtake if the road is clear ahead.","A"
"151","11","1","What does this road marking mean?","You have right-of-way over traffic from both right and left.","Traffic from right and left have the right-of-way.","Taxi pick-up area.","A driver must not enter unless turning right or the exit is clear.","D"
"152","11","1","What does this road marking mean?","You may overtake.","A driver must not cross the line.","You are approaching a stop sign.","Road narrows ahead.","B"
"153","11","1","What do white arrows painted on the road indicate?","The lane drivers should use for the direction they intent to take.","Left and right-hand lanes are for buses only.","Heavy vehicles should separate from lighter traffic.","Traffic flow divides at roadworks ahead.","A"
"154","11","1","What does this road marking and information plate together mean?","Parking not allowed at the times shown.","Parking only at times shown.","Taxi parking only outside the times shown.","Taxi parking only at the times shown.","A"
"155","11","1","What does this road marking mean?","A driver must not cross the broken white line unless it is safe to do so.","You may not overtake.","You may overtake provided you do not cross the broken white line.","You may not perform a reverse maneuver.","A"
"156","11","1","What could this road marking mean?","All traffic must keep to the left of the broken white lines.","Dual-carriageway ahead.","Continuous white line lies ahead.","You are approaching a stop sign.","C"
"157","11","1","If driving from A to B, what do these road markings mean?","A driver may cross the continuous white line only when performing a 'U'-turn.","A driver may not overtake, only motorcyclists may cross the continuous white line.","A driver may not overtake by crossing the continuous white line.","A driver may overtake if it is safe to do so.","D"
"158","11","1","If driving from A to B, what do these road markings mean?","A driver may overtake by crossing the continuous white line.","A driver may not cross the lines to overtake.","A driver may not overtake.","Only motorcyclists may overtake crossing the continuous white line.","B"
"159","11","1","What does this road marking mean?","No entry.","The road ahead is a cul-de-sac.","Pedestrian crossing.","Private vehicles not allowed.","A"
"160","11","1","What does this road marking mean?","Parking prohibited at all times.","Parking prohibited during business hours.","Tax parking only.","Keep outside the yellow lines.","A"
"161","11","1","What does the broken yellow line road marking mean?","Lay-by ahead.","No stopping for any reason except in an emergency.","Slow lane for heavy vehicles only.","The edge of the carriageway or hard shoulder.","D"
"162","11","1","What does this traffic light mean?","Stop, unless it would be unsafe to do so.","Stop.","Proceed if the way is clear.","Prepare to move off.","A"
"163","11","1","What does this traffic light mean?","Traffic is not allowed to turn right.","The driver may proceed in the direction of the green arrow if the way is clear.","All traffic must turn right.","You must stop and wait until the full green light appears.","B"
"164","11","1","What does this traffic light mean?","Traffic is not allowed to turn left.","All traffic must turn left only.","Left turning traffic may proceed if the way is clear.","Traffic turning left should prepare for full green to move off.","C"
"165","11","1","What does this traffic light mean?","You may proceed.","Traffic must stop at the traffic light.","You may proceed if you can do so safely.","You may stop if you can do so safely.","B"
"166","11","1","What does this traffic light mean?","You must give way to any oncoming traffic turning right.","You must stop.","Traffic may proceed if the way is clear.","You may proceed but not turn right.","C"
"167","11","0","What colour traffic light comes on after the green?","Flashing amber.","Green arrow.","Amber only.","Red only.","C"
"168","11","0","When traffic lights are green, when should a driver not proceed?","Buses are stopped waiting to turn from the road on you right.","When by doing so, your vehicle blocks the junction.","Buses are stopped waiting to turn from the road on your left.","Oncoming traffic is waiting to make a left turn.","B"
"169","11","1","What does a flashing left amber arrow at a traffic light mean?","A driver may turn left but yield to traffic on the other road.","A driver may turn left if the green light is also shown.","A driver may turn left.","A driver may proceed straight ahead.","A"
"170","11","0","What colour traffic light comes on after a non-flashing amber light?","Green only.","Flashing blue light.","Red or Green.","Red only.","D"
"171","11","0","What do flashing amber lights at a pelican crossing mean?","Stop and give way to pedestrians - proceed if the way is clear.","You are entering a special speed limit area.","Danger ahead - you must stop and wait until they stop flashing.","Drivers have right-of-way.","A"
"172","11","0","What is the maximum permissible speed for cars or motorcycles on motorways?","100 km/h.","60 km/h.","120 km/h.","80 km/h.","C"
"173","11","0","What is the maximum permissible speed for cars or motorcycles on single carriageway national roads?","60 km/h.","100 km/h.","80 km/h.","120 km/h.","B"
"174","11","0","What is the maximum permissible speed of a car towing a caravan on national roads?","100 km/h.","120 km/h.","80 km/h.","60 km/h.","B"
"175","11","0","What is the maximum permissible speed of a car towing a caravan on a motorway?","120 km/h.","100 km/h.","90 km/h.","80 km/h.","D"
"176","11","0","Where must a driver not park?","Where there is a continuous white along the centre of the road.","Where there is a broken white line along the centre of the road.","Where there are two broken white lines along the centre of the road.","On a single yellow line outside the times indicated.","A"
"177","11","0","What distance before a zebra crossing is parking prohibited?","5 meters.","15 meters.","10 meters.","20 meters.","B"
"178","11","0","Within what distance of a junction is parking prohibited?","5 meters.","8 meters.","3 meters.","15 meters.","A"
"179","11","0","When may a driver park a vehicle in a loading bay?","Park for a maximum of 5 minutes.","Park for a maximum of 30 minutes.","Park for a maximum of 10 minutes.","When the driver is the driver of a goods vehicle and is loading or unloading.","D"
"180","11","0","Is a driver permitted to park at an entrance to a property?","Yes, with the property owner's consent.","For a maximum of 5 minutes at any one time.","For a maximum of 15 minutes at any one time.","For a maximum of 10 minutes at any one time.","D"
"181","11","0","When is parking permitted on a footpath?","It is never permitted to park on a footpath.","When no more than half your vehicle is on the footpath.","When at least half the footpath remains free for pedestrians.","When cars are parked both sides of the road.","A"
"182","11","0","When is double parking permitted?","When there are double white lines.","Double parking is never permitted.","When there are double yellow lines.","When there is a hard shoulder.","B"
"183","11","0","When is parking permitted at a taxi rank?","When parking for less than 15 minutes.","When waiting to collect passengers from a taxi.","When the rank is unoccupied.","Parking at a taxi rank is prohibited.","D"
"184","11","0","When is parking permitted at a sharp bend?","When you put on your hazard warning lights.","Parking is never permitted at a sharp bend.","Provided you park no more than 45 centimeters from the kerb or edge of the road.","When drivers coming from behind can see your vehicle.","B"
"185","11","0","When is parking permitted on the brow of a hill?","When you angle the wheels towards the kerb.","When it has an efficient handbrake.","Only when there is no traffic on the road.","Parking on the brow of a hill is never allowed.","D"
"186","11","0","If there is no footpath, where must a pedestrian walk?","Right-hand side of the road.","1 meter from the edge.","There is no regulation.","Left-hand side of the road.","A"
"187","11","0","On a narrow busy road, what rules apply to pedestrians when walking?","Two abreast.","Walk in single file.","Not more than two abreast.","Three abreast.","B"
"188","11","0","When should pedestrians wear reflective clothing at night?","Where street lighting is provided.","Inside urban areas.","At all times outside well-lit urban areas.","Where no street lighting is provided.","C"
"189","11","0","What road users must comply with traffic lights (including pedestrian lights)?","Drivers only.","All road users.","Pedestrians only.","School children only.","B"
"190","11","1","What does this marker board on a large vehicle indicate?","Hazardous goods carried.","Overhanging load.","Slow vehicle in front.","Livestock unloading.","B"
